id,asset_number,name,stock_type,location,quantity_held,quantity_booked,quantity_available,quantity_counted
49428,100004,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49429,100006,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46404,100008,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49431,100010,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49432,100011,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46405,100015,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49434,100017,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49435,100018,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46406,100024,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49437,100026,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46407,100028,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49439,100029,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49440,100030,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49441,100031,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49442,100032,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46408,100033,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49444,100034,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49445,100035,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46409,100036,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46410,100037,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49448,100038,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49449,100039,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49450,100040,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46411,100041,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46412,100042,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49453,100045,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49454,100046,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49455,100047,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49456,100048,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49457,100050,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46413,100051,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49459,100056,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49460,100057,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46414,100058,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49462,100059,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49463,100060,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49464,100061,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46415,100062,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49466,100063,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49467,100065,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49468,100067,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46416,100069,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49470,100071,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49471,100074,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46417,100075,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46418,100076,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49474,100078,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49475,100079,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49476,100082,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49477,100083,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49478,100087,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49479,100088,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49480,100090,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46419,100091,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49482,100092,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49483,100093,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49484,100095,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46420,100096,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46421,100097,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49487,100098,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49488,100099,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46422,100101,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49490,100104,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49491,100105,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49492,100106,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49493,100107,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46423,100108,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
46424,100109,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49496,100110,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49497,100113,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49498,100114,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49499,100116,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46425,100118,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49501,100120,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49502,100122,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49503,100123,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49504,100125,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49505,100127,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49506,100128,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46426,100129,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49508,100130,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49509,100131,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46427,100132,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49511,100133,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46428,100135,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49513,100136,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49514,100137,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49515,100138,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49516,100139,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49517,100140,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49518,100142,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
49519,100144,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
